cement,slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,compressive_strength,w_c_ratio,log_age,w_c_ratio_bin
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28,79.98611076,0.3,3.332204510175204,0
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28,61.88736576,0.3,3.332204510175204,0
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270,40.269535256000005,0.6857142857142857,5.598421958998375,5
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,41.052779992,0.6857142857142857,5.899897353582492,5
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360,44.296075096,0.9667673716012084,5.886104031450156,7
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,47.029847436,0.8571428571428571,4.499809670330265,7
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365,43.698299404,0.6,5.899897353582492,3
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28,36.447769788,0.6,3.332204510175204,3
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,45.854290856,0.8571428571428571,3.332204510175204,7
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,39.28978986,0.48,3.332204510175204,1
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90,38.074243672,0.9667673716012084,4.499809670330265,7
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28,28.021683592,0.9667673716012084,3.332204510175204,7
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270,43.01296026,0.5333333333333333,5.598421958998375,2
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90,42.32693164,1.2,4.499809670330265,8
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28,47.813781648,0.75,3.332204510175204,5
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,52.908319812,0.6,4.499809670330265,3
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90,39.358047984,1.375358166189112,4.499809670330265,9
342.0,38.0,0.0,228.0,0.0,932.0,670.0,365,56.141962252,0.6666666666666666,5.899897353582492,4
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90,40.563252032,0.6,4.499809670330265,3
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180,42.620648416,0.48,5.19295685089021,1
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180,41.836714204,0.5333333333333333,5.19295685089021,2
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28,28.23748958,1.375358166189112,3.332204510175204,9
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3,8.06342182,1.375358166189112,1.0986122886681098,9
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180,44.207822168,1.375358166189112,5.19295685089021,9
380.0,0.0,0.0,228.0,0.0,932.0,670.0,365,52.516697444,0.6,5.899897353582492,3
380.0,0.0,0.0,228.0,0.0,932.0,670.0,270,53.300631656,0.6,5.598421958998375,3
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270,41.15137506,0.6,5.598421958998375,3
342.0,38.0,0.0,228.0,0.0,932.0,670.0,180,52.1243856,0.6666666666666666,5.19295685089021,4
427.5,47.5,0.0,228.0,0.0,932.0,594.0,28,37.427515184,0.5333333333333333,3.332204510175204,2
475.0,0.0,0.0,228.0,0.0,932.0,594.0,7,38.60376124,0.48,1.9459101490553128,1
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365,55.260122448,0.75,5.899897353582492,5
266.0,114.0,0.0,228.0,0.0,932.0,670.0,365,52.908319812,0.8571428571428571,5.899897353582492,7
198.6,132.4,0.0,192.0,0.0,978.4,825.5,180,41.719503284,0.9667673716012084,5.19295685089021,7
475.0,0.0,0.0,228.0,0.0,932.0,594.0,270,42.131120456,0.48,5.598421958998375,1
190.0,190.0,0.0,228.0,0.0,932.0,670.0,365,53.69225402399999,1.2,5.899897353582492,8
237.5,237.5,0.0,228.0,0.0,932.0,594.0,270,38.407950056,0.96,5.598421958998375,7
237.5,237.5,0.0,228.0,0.0,932.0,594.0,28,30.079769452,0.96,3.332204510175204,7
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,37.721921436,0.6857142857142857,4.499809670330265,5
475.0,0.0,0.0,228.0,0.0,932.0,594.0,90,42.229026048,0.48,4.499809670330265,1
237.5,237.5,0.0,228.0,0.0,932.0,594.0,180,36.251958604,0.96,5.19295685089021,7
342.0,38.0,0.0,228.0,0.0,932.0,670.0,90,50.45930106,0.6666666666666666,4.499809670330265,4
